CA DistanceNominal (au),CA DistanceMinimum (au),V relative(km/s),V infinity(km/s),H(mag),Diameter,pha
0.04376,0.04327,15.33,15.33,25.5,47.0,0
0.01563,0.01557,15.06,15.04,26.2,34.0,0
0.02457,0.02452,4.8,4.78,25.8,41.0,0
0.02903,0.02889,13.64,13.63,24.3,82.0,0
0.01651,0.01646,5.11,5.08,27.6,18.0,0
0.04011,0.04011,5.18,5.17,24.4,78.0,0
0.02056,0.02037,11.49,11.48,26.7,27.0,0
0.02616,0.02607,13.75,13.74,24.3,82.0,0
0.02222,0.02189,14.46,14.46,24.4,78.0,0
0.04857,0.04809,27.68,27.68,24.8,65.0,0
0.03544,0.03537,5.54,5.52,25.7,43.0,0
0.00743,0.00741,7.45,7.4,26.6,28.0,1
0.02291,0.02266,18.98,18.97,24.7,68.0,0
0.033,0.03279,15.63,15.63,23.6,110.0,0
0.00238,0.00237,8.83,8.7,28.7,11.0,1
0.02479,0.0247,7.49,7.48,25.2,54.0,0
0.00908,0.00906,8.81,8.78,26.6,28.0,1
0.00718,0.00714,10.53,10.5,28.4,12.0,1
0.0275,0.00736,4.7,4.67,29.0,9.4,1
0.03389,0.02538,9.89,9.88,27.0,24.0,0
0.00553,0.00551,6.63,6.56,27.8,16.0,1
0.01644,0.01634,11.25,11.24,26.4,31.0,0
0.00923,0.00921,18.74,18.72,22.7,170.0,1
0.02966,0.02942,14.87,14.86,24.9,62.0,0
0.03476,0.03476,5.75,5.74,22.9,160.0,0
0.02224,0.02191,11.82,11.81,26.5,30.0,0
0.031,0.03092,5.4,5.38,25.4,49.0,0
0.03138,0.02747,8.09,8.08,24.9,61.0,0
0.02441,0.02425,12.28,12.27,25.0,60.0,0
0.02574,0.02557,7.22,7.2,25.2,54.0,0
0.01492,0.01487,4.84,4.81,27.2,22.0,0
0.02523,0.02475,5.17,5.15,25.8,41.0,0
0.02234,0.02218,18.48,18.48,26.1,36.0,0
0.03701,0.03591,17.25,17.25,22.0,240.0,1
0.01674,0.01668,15.05,15.04,25.3,52.0,0
0.0424,0.04199,28.46,28.45,24.1,90.0,0
0.03699,0.03672,10.53,10.53,24.8,65.0,0
0.00074,0.00074,11.66,11.34,28.4,12.0,1
0.03557,0.03268,9.54,9.53,29.2,8.6,0
0.00865,0.00864,10.33,10.3,25.7,43.0,1
0.0155,0.01542,8.62,8.6,25.0,59.0,0
0.04616,0.04576,18.05,18.04,23.6,110.0,0
0.04898,0.04793,13.7,13.69,25.7,43.0,0
0.01542,0.01539,7.67,7.65,26.5,30.0,0
0.00722,0.00722,11.94,11.91,26.0,38.0,1
0.02737,0.02737,4.41,4.39,24.7,68.0,0
0.03018,0.02998,6.52,6.51,26.1,36.0,0
0.02399,0.02391,7.43,7.42,27.0,24.0,0
0.0022,0.0022,17.86,17.79,28.7,11.0,1
0.0139,0.01385,13.87,13.86,26.3,33.0,0
0.0064,0.0064,16.08,16.05,26.6,28.0,1
0.00124,0.00124,13.97,13.81,28.8,10.0,1
0.0351,0.03487,12.39,12.39,25.6,45.0,0
0.02095,0.01585,8.4,8.38,25.2,54.0,0
0.00531,0.0053,13.73,13.7,28.2,14.0,1
0.04881,0.04046,29.31,29.31,21.9,250.0,1
0.00849,0.00846,14.38,14.36,26.5,30.0,1
0.0004,0.00039,15.97,15.54,27.4,20.0,1
0.02481,0.02473,8.36,8.35,25.7,43.0,0
0.00328,0.00327,10.16,10.08,27.1,23.0,1
0.02045,0.02036,9.66,9.65,26.1,36.0,0
0.00444,0.00443,18.2,18.16,25.5,47.0,1
0.01858,0.01841,10.98,10.97,27.2,22.0,0
0.02298,0.02288,12.2,12.19,25.4,49.0,0
0.00419,0.00419,12.93,12.88,26.5,30.0,1
0.00447,0.00445,7.48,7.4,27.7,17.0,1
0.03909,0.03889,18.42,18.42,23.3,130.0,0
0.01832,0.01832,3.9,3.86,27.1,23.0,0
0.00298,0.00298,9.24,9.14,26.8,26.0,1
0.02273,0.02264,15.48,15.48,24.2,86.0,0
0.03845,0.03524,11.71,11.71,26.1,36.0,0
0.04166,0.03875,7.67,7.66,26.3,33.0,0
0.00412,0.00412,3.3,3.1,26.2,34.0,1
0.03864,0.02866,8.04,8.03,27.4,20.0,0
0.01788,0.01776,7.19,7.17,26.1,36.0,0
0.00909,0.00906,15.15,15.13,27.1,23.0,1
0.00742,0.00666,8.19,8.14,30.0,5.9,1
0.00913,0.00912,8.75,8.71,25.5,47.0,1
0.04222,0.04194,4.94,4.93,28.0,15.0,0
0.03862,0.03862,21.74,21.74,22.9,160.0,0
0.01027,0.01024,10.19,10.17,26.3,33.0,0
0.03673,0.03648,7.86,7.85,25.8,41.0,0
0.03185,0.03176,11.72,11.72,24.6,71.0,0
0.00563,0.00562,7.92,7.86,28.3,13.0,1
0.00208,0.00207,13.78,13.68,28.1,14.0,1
0.01405,0.01399,24.47,24.46,25.1,57.0,0
0.01601,0.01599,5.69,5.66,26.2,34.0,0
0.02791,0.02791,4.55,4.53,26.2,34.0,0
0.03684,0.03672,5.19,5.17,26.9,25.0,0
0.02321,0.02313,7.81,7.79,26.3,33.0,0
0.02576,0.02568,9.59,9.58,26.1,36.0,0
0.01588,0.01575,12.34,12.33,25.4,50.0,0
0.0309,0.03075,6.65,6.63,26.8,26.0,0
0.00437,0.0043,29.67,29.64,26.4,31.0,1
0.00191,0.0019,21.07,21.0,26.1,36.0,1
0.00746,0.00743,14.73,14.71,27.0,23.0,1
0.01454,0.01446,13.03,13.01,26.5,30.0,0
0.03988,0.03974,11.45,11.44,25.4,50.0,0
0.03119,0.03116,6.13,6.11,26.0,38.0,0
0.03995,0.03965,10.48,10.47,26.5,30.0,0
0.03951,0.03934,6.43,6.42,25.8,41.0,0
0.02663,0.02637,15.23,15.22,24.9,62.0,0
0.03715,0.03648,10.39,10.38,26.0,38.0,0
0.00275,0.00275,13.0,12.93,26.0,38.0,1
0.03689,0.03675,9.81,9.8,24.5,75.0,0
0.04442,0.0442,17.41,17.41,23.5,120.0,0
0.04574,0.04547,8.12,8.12,24.7,68.0,0
0.02617,0.02291,11.82,11.81,26.6,28.0,0
0.02193,0.02183,7.32,7.3,26.7,27.0,0
0.01697,0.01691,14.16,14.15,25.4,49.0,0
0.04792,0.03174,8.9,8.89,26.9,25.0,0
0.02413,0.02263,4.44,4.41,26.6,28.0,0
0.00848,0.00846,10.37,10.34,23.2,140.0,1
0.04407,0.02634,11.47,11.46,27.3,21.0,0
0.03614,0.03583,14.74,14.74,24.1,90.0,0
0.0192,0.0192,16.28,16.27,22.9,160.0,0
0.03145,0.03123,17.58,17.58,23.4,120.0,0
0.02731,0.02729,1.8,1.75,26.8,26.0,0
0.00132,0.00131,16.76,16.64,26.6,28.0,1
0.01437,0.01415,4.56,4.52,27.5,19.0,0
0.01333,0.01327,11.71,11.69,26.2,34.0,0
0.00946,0.00943,8.51,8.48,27.2,22.0,1
0.00272,0.00159,5.18,4.99,27.6,18.0,1
0.01728,0.01723,7.33,7.31,24.1,90.0,0
0.00813,0.00811,19.33,19.31,25.7,43.0,1
0.0472,0.0472,7.13,7.12,22.6,180.0,0
0.04542,0.04506,6.72,6.71,25.0,59.0,0
0.01481,0.01288,6.75,6.72,26.6,28.0,0
0.00439,0.00439,16.22,16.18,26.4,31.0,1
0.0202,0.0202,8.16,8.14,25.3,51.0,0
0.02269,0.02267,10.01,10.0,24.6,71.0,0
0.03332,0.03332,7.84,7.83,24.5,75.0,0
0.03564,0.03515,2.11,2.08,26.8,26.0,0
0.04657,0.04622,8.31,8.3,26.3,33.0,0
0.03137,0.03123,4.79,4.77,24.7,68.0,0
0.00654,0.00654,13.76,13.73,26.6,28.0,1
0.00608,0.00606,5.11,5.03,24.9,62.0,1
0.04829,0.04829,15.86,15.86,21.0,370.0,1
0.02933,0.02928,7.04,7.02,24.4,78.0,0
0.02137,0.02137,1.5,1.42,27.5,19.0,0
0.03221,0.03206,21.93,21.93,24.6,71.0,0
0.04294,0.04294,6.19,6.18,23.8,100.0,0
0.01749,0.01748,10.11,10.09,25.3,52.0,0
0.03776,0.03767,8.4,8.4,24.0,94.0,0
0.03715,0.02105,9.04,9.03,25.3,52.0,0
0.03642,0.03641,4.95,4.94,24.8,65.0,0
0.02343,0.02343,3.24,3.21,25.7,43.0,0
0.03884,0.03883,9.11,9.1,26.0,38.0,0
0.03074,0.03071,8.78,8.77,25.8,41.0,0
0.04931,0.04927,6.84,6.83,24.9,62.0,0
0.01265,0.01265,9.32,9.3,24.0,94.0,0
0.03285,0.03083,6.88,6.87,27.0,24.0,0
0.00295,0.00295,8.46,8.35,23.6,110.0,1
0.02757,0.02738,7.23,7.21,26.3,33.0,0
0.04734,0.04588,10.59,10.59,24.6,71.0,0
0.04752,0.04745,7.37,7.37,24.5,75.0,0
0.02845,0.01661,15.8,15.8,23.3,130.0,0
0.00611,0.0061,11.07,11.03,24.2,86.0,1
0.01644,0.01644,6.04,6.01,20.0,600.0,1
0.01892,0.00694,14.1,14.09,25.3,52.0,1
0.04067,0.04053,10.24,10.23,23.3,130.0,0
0.02498,0.02438,12.03,12.02,22.9,160.0,0
0.0038,0.0038,7.65,7.56,27.9,16.0,1
0.04862,0.04861,5.87,5.86,23.0,150.0,0
0.04876,0.04876,2.32,2.29,24.7,68.0,0
0.03488,0.03351,12.37,12.36,26.6,29.0,0
0.01894,0.01882,16.15,16.14,24.0,94.0,0
0.0062,0.00619,2.85,2.69,28.8,10.0,1
0.02867,0.02828,9.8,9.79,23.6,110.0,0
0.04226,0.04219,9.66,9.66,24.5,75.0,0
0.01096,0.01079,12.54,12.52,25.7,43.0,0
0.03526,0.03509,5.3,5.29,24.2,86.0,0
0.02345,0.02345,7.63,7.62,24.4,77.0,0
0.0406,0.01132,6.98,6.97,27.4,20.0,0
0.00053,0.00053,16.31,16.0,28.1,14.0,1
0.04355,0.04355,7.3,7.29,23.6,110.0,0
0.01482,0.01482,8.69,8.67,23.7,110.0,0
0.01393,0.0139,8.72,8.7,26.7,27.0,0
0.00318,0.00317,11.24,11.16,27.1,23.0,1
0.0461,0.0461,12.47,12.47,23.1,140.0,0
0.0106,0.01002,6.94,6.9,27.6,18.0,0
0.02864,0.02756,15.1,15.09,23.1,140.0,0
0.03034,0.03015,16.83,16.82,24.0,94.0,0
0.00506,0.00505,5.8,5.7,27.8,16.0,1
0.01201,0.012,8.35,8.32,26.3,33.0,0
0.03765,0.03753,7.54,7.53,25.2,54.0,0
0.01125,0.01124,7.09,7.06,27.0,24.0,0
0.04371,0.04371,6.93,6.92,25.7,43.0,0
0.01833,0.01828,18.08,18.07,25.0,59.0,0
0.01285,0.0128,7.79,7.76,27.0,24.0,0
0.04685,0.04685,10.53,10.52,25.6,45.0,0
0.02871,0.02869,6.98,6.97,25.4,49.0,0
0.01666,0.01641,7.08,7.06,25.7,43.0,0
0.01068,0.01067,26.27,26.26,24.0,94.0,0
0.02479,0.02468,9.35,9.34,23.9,99.0,0
0.03289,0.03277,8.42,8.41,25.9,39.0,0
0.01009,0.01,6.81,6.77,26.6,28.0,0
0.00624,0.00624,8.63,8.58,26.0,38.0,1
0.04289,0.03129,11.12,11.11,26.7,27.0,0
0.02658,0.02649,14.53,14.53,24.4,78.0,0
0.01671,0.01669,7.31,7.29,24.5,75.0,0
0.04472,0.04472,7.24,7.23,20.8,410.0,1
0.02622,0.02601,9.5,9.49,26.6,28.0,0
0.0365,0.03649,14.78,14.77,24.9,62.0,0
0.03794,0.03459,11.89,11.88,22.3,210.0,0
0.01314,0.01301,6.61,6.58,27.4,20.0,0
0.01731,0.0172,5.67,5.64,25.7,43.0,0
0.01353,0.01281,11.12,11.1,23.4,120.0,0
0.01638,0.01634,8.09,8.07,26.7,27.0,0
0.02693,0.02688,19.49,19.48,24.3,82.0,0
0.01376,0.0137,6.33,6.3,25.0,59.0,0
0.0254,0.02491,10.87,10.86,26.2,34.0,0
0.00363,0.00359,18.45,18.41,27.8,16.0,1
0.02224,0.0222,4.63,4.6,25.9,39.0,0
0.02406,0.02396,7.18,7.16,25.2,54.0,0
0.00551,0.0055,6.46,6.39,29.2,8.6,1
0.01273,0.01271,8.33,8.3,26.4,31.0,0
0.02241,0.02241,7.6,7.58,26.6,28.0,0
0.00747,0.00746,8.51,8.47,25.3,52.0,1
0.02764,0.02764,11.17,11.16,24.4,77.0,0
0.00649,0.00648,5.18,5.1,28.1,14.0,1
0.043,0.043,13.7,13.69,23.3,130.0,0
0.02558,0.02551,7.07,7.05,26.6,28.0,0
0.01032,0.01031,5.41,5.36,28.4,12.0,0
0.03864,0.038,11.43,11.43,24.9,62.0,0
0.01074,0.0107,10.02,9.99,26.4,31.0,0
0.02389,0.02354,2.93,2.89,27.2,22.0,0
0.00018,0.00018,13.71,12.57,28.9,9.9,1
0.03795,0.03777,8.93,8.92,25.4,49.0,0
0.02863,0.02853,3.24,3.21,27.4,20.0,0
0.02889,0.0286,12.53,12.52,24.4,78.0,0
0.02595,0.02587,23.14,23.14,22.9,160.0,0
0.00593,0.00592,17.97,17.95,27.7,17.0,1
0.03769,0.03733,12.35,12.35,25.5,47.0,0
0.04706,0.04706,8.52,8.51,26.2,34.0,0
0.02735,0.02719,8.26,8.24,26.4,31.0,0
0.02656,0.0264,18.1,18.1,24.4,78.0,0
0.03009,0.02991,16.77,16.76,24.6,71.0,0
0.00338,0.00338,6.14,6.01,25.4,49.0,1
0.03742,0.03739,4.33,4.31,23.4,120.0,0
0.03685,0.03685,5.92,5.91,23.9,99.0,0
0.04014,0.03997,9.59,9.58,25.0,59.0,0
0.03007,0.03007,12.91,12.9,24.1,90.0,0
0.03771,0.03735,11.67,11.66,24.5,75.0,0
0.03025,0.02983,6.43,6.42,27.5,19.0,0
0.0447,0.0447,9.5,9.5,22.2,210.0,0
0.0451,0.0451,11.06,11.05,22.3,200.0,0
0.03168,0.03151,9.78,9.77,26.7,27.0,0
0.01518,0.01514,15.5,15.49,26.5,30.0,0
0.03685,0.03672,6.64,6.63,25.8,41.0,0
0.00259,0.00257,19.97,19.92,27.4,20.0,1
0.03916,0.0391,11.13,11.12,23.6,110.0,0
0.03081,0.03061,4.82,4.8,27.7,17.0,0
0.01094,0.01083,21.56,21.55,24.7,68.0,0
0.02753,0.02744,15.32,15.31,25.4,49.0,0
0.04616,0.02542,7.95,7.95,24.8,65.0,0
0.02179,0.02166,24.7,24.7,24.4,78.0,0
0.0292,0.02907,11.62,11.62,26.1,36.0,0
0.01409,0.01399,9.99,9.97,26.4,31.0,0
0.04677,0.04677,7.64,7.63,23.5,120.0,0
0.00597,0.00596,13.06,13.02,27.2,22.0,1
0.03335,0.03311,5.56,5.54,27.3,21.0,0
0.02443,0.02438,9.54,9.53,24.5,75.0,0
0.01227,0.01224,10.38,10.36,26.4,31.0,0
0.01026,0.01025,9.62,9.6,26.7,27.0,0
0.01485,0.0148,8.62,8.6,26.2,34.0,0
0.00074,0.00074,4.43,3.53,29.3,8.1,1
0.0414,0.01714,7.74,7.73,27.0,24.0,0
0.03164,0.03155,3.83,3.81,26.0,38.0,0
0.03416,0.03395,8.06,8.05,25.6,45.0,0
0.0098,0.0098,4.4,4.34,26.6,28.0,1
0.0307,0.0307,12.88,12.87,24.7,68.0,0
0.03015,0.03015,24.62,24.62,22.6,180.0,0
0.01598,0.01598,10.78,10.77,26.1,36.0,0
0.0108,0.01078,10.26,10.23,26.3,33.0,0
0.00087,0.00087,7.88,7.48,27.8,16.0,1
0.00877,0.00873,4.3,4.23,27.2,22.0,1
0.03599,0.03598,19.98,19.97,24.6,71.0,0
0.04152,0.03022,14.13,14.13,25.2,54.0,0
0.02127,0.02122,6.69,6.67,24.9,63.0,0
0.03419,0.03403,12.87,12.86,24.9,62.0,0
0.01123,0.01121,12.27,12.25,26.3,33.0,0
0.04243,0.04243,2.91,2.89,24.4,78.0,0
0.03428,0.03381,3.88,3.86,27.7,17.0,0
0.04352,0.04351,1.93,1.9,25.6,45.0,0
0.03639,0.01151,16.42,16.41,29.3,8.2,0
0.02771,0.02729,14.11,14.1,23.7,110.0,0
0.02144,0.02141,5.93,5.91,25.8,41.0,0
0.02422,0.02395,9.82,9.81,25.4,49.0,0
0.00472,0.0047,14.64,14.6,26.6,28.0,1
0.00325,0.00325,34.95,34.92,20.0,580.0,1
0.04579,0.04573,5.35,5.34,25.2,54.0,0
0.00545,0.00544,8.58,8.52,28.3,13.0,1
0.00422,0.0042,15.83,15.79,27.5,19.0,1
0.00985,0.00983,11.26,11.24,27.4,20.0,1
0.02938,0.02924,6.31,6.3,27.6,18.0,0
0.0295,0.02932,12.75,12.74,24.0,94.0,0
0.02107,0.02102,5.08,5.06,27.4,20.0,0
0.0271,0.02707,10.12,10.11,24.6,71.0,0
0.01949,0.01942,14.97,14.96,26.1,36.0,0
0.00187,0.00187,20.46,20.39,28.3,13.0,1
0.03172,0.03152,7.25,7.24,25.9,39.0,0
0.0064,0.0064,9.81,9.77,26.2,34.0,1
0.01774,0.01774,11.52,11.51,22.7,170.0,0
0.0162,0.01619,10.48,10.46,26.3,33.0,0
0.00067,0.00067,4.48,3.48,30.6,4.5,1
0.04556,0.04555,5.47,5.46,24.1,90.0,0
0.03533,0.03533,10.74,10.74,22.6,180.0,0
0.0339,0.03379,7.42,7.41,26.6,28.0,0
0.04617,0.04613,3.33,3.31,25.7,43.0,0
0.02488,0.02482,10.07,10.06,26.0,38.0,0
0.02595,0.02581,8.47,8.46,26.8,26.0,0
0.01403,0.014,18.64,18.63,26.1,36.0,0
0.04018,0.03992,13.69,13.69,24.5,75.0,0
0.00653,0.00652,18.01,17.99,25.6,45.0,1
0.01514,0.01511,8.17,8.14,27.7,17.0,0
0.02707,0.027,6.28,6.26,24.3,82.0,0
0.03174,0.03174,1.4,1.33,27.5,19.0,0
0.00781,0.00781,7.45,7.4,27.4,20.0,1
0.0432,0.04309,6.89,6.88,24.0,94.0,0
0.01243,0.01243,9.29,9.27,26.3,33.0,0
0.02306,0.02301,5.54,5.52,28.3,13.0,0
0.00023,0.00023,17.42,16.75,29.0,9.4,1
0.04044,0.04029,8.64,8.63,24.9,62.0,0
0.01476,0.01472,15.3,15.29,23.5,120.0,0
0.01421,0.01417,11.0,10.98,27.6,18.0,0
0.02439,0.02398,17.84,17.83,24.4,78.0,0
0.01689,0.01675,8.97,8.95,26.0,38.0,0
0.01856,0.01851,12.74,12.73,24.7,68.0,0
0.00468,0.00458,19.69,19.66,26.0,38.0,1
0.01797,0.01793,6.01,5.99,26.3,33.0,0
0.03176,0.03175,9.18,9.17,23.4,120.0,0
0.04781,0.04654,7.65,7.64,24.7,68.0,0
0.04425,0.04417,5.79,5.78,24.9,62.0,0
0.00154,0.00153,12.84,12.7,30.1,5.7,1
0.01528,0.01528,18.99,18.98,20.3,510.0,1
0.02486,0.02482,6.08,6.06,25.2,54.0,0
0.03922,0.03893,8.39,8.38,26.9,25.0,0
0.04341,0.04341,8.82,8.81,25.0,59.0,0
0.01919,0.01919,7.22,7.2,24.1,90.0,0
0.00408,0.00407,16.5,16.46,29.6,7.1,1
0.0488,0.04876,7.36,7.35,27.5,19.0,0
0.00262,0.00262,3.12,2.78,28.9,9.9,1
0.02307,0.02261,12.22,12.21,24.7,68.0,0
0.03305,0.033,2.81,2.78,27.4,20.0,0
0.02457,0.02445,9.23,9.22,25.4,49.0,0
0.03935,0.03935,18.88,18.87,23.5,120.0,0
0.04411,0.0439,22.4,22.4,24.9,62.0,0
0.00915,0.00914,8.65,8.62,26.9,25.0,1
0.04075,0.0406,18.48,18.48,23.1,140.0,0
0.00758,0.00757,7.12,7.07,29.2,8.6,1
0.01157,0.01152,17.66,17.65,27.7,17.0,0
0.02072,0.02059,5.03,5.01,27.5,19.0,0
0.04656,0.04625,17.01,17.01,24.0,94.0,0
0.02267,0.02267,7.89,7.88,26.3,33.0,0
0.00987,0.00982,14.31,14.29,25.5,47.0,1
0.02389,0.02276,12.49,12.48,26.1,36.0,0
0.01719,0.01719,14.52,14.51,25.9,39.0,0
0.01291,0.01284,10.46,10.44,26.1,36.0,0
0.03089,0.03067,6.55,6.53,24.5,75.0,0
0.00372,0.00372,8.14,8.05,25.8,41.0,1
0.0242,0.02415,6.94,6.93,26.9,25.0,0
0.03563,0.03552,12.82,12.81,24.7,68.0,0
0.01042,0.01041,3.85,3.78,26.9,25.0,0
0.02826,0.02793,7.98,7.97,26.8,26.0,0
0.01921,0.01921,4.3,4.26,26.1,36.0,0
0.04359,0.04359,12.91,12.91,24.1,90.0,0
0.02884,0.0287,7.74,7.72,25.1,57.0,0
0.02782,0.02782,8.88,8.87,23.2,140.0,0
0.03717,0.03717,6.27,6.26,25.2,54.0,0
0.04316,0.04305,9.88,9.88,24.7,67.0,0
0.01744,0.01737,12.01,12.0,25.4,49.0,0
0.00859,0.00859,8.16,8.12,25.2,54.0,1
0.0216,0.01944,13.55,13.54,25.5,47.0,0
0.01634,0.01626,12.05,12.03,26.9,25.0,0
0.04264,0.04235,5.03,5.02,27.9,16.0,0
0.02421,0.02405,8.43,8.42,27.0,24.0,0
0.04024,0.04006,11.43,11.43,25.0,59.0,0
0.01431,0.01422,8.32,8.3,25.8,40.0,0
0.00579,0.00574,7.58,7.52,27.9,16.0,1
0.04899,0.04857,7.87,7.86,25.3,52.0,0
0.01293,0.01277,6.91,6.88,27.9,16.0,0
0.02079,0.02059,17.37,17.36,24.2,86.0,0
0.01903,0.01896,10.31,10.29,27.4,20.0,0
0.00338,0.00337,9.5,9.42,28.7,11.0,1
0.00048,0.00047,16.72,16.38,28.2,14.0,1
0.00616,0.00616,3.69,3.57,26.0,38.0,1
0.02161,0.02161,6.35,6.33,27.4,20.0,0
0.00385,0.00384,8.78,8.7,27.4,20.0,1
0.00632,0.00632,6.22,6.15,27.2,22.0,1
0.00193,0.00193,11.92,11.81,27.2,22.0,1
0.005,0.00499,6.9,6.82,28.4,12.0,1
0.03643,0.03624,1.61,1.57,26.6,28.0,0
0.02499,0.02485,10.5,10.49,25.5,47.0,0
0.0473,0.04703,10.5,10.5,25.6,45.0,0
0.04536,0.04536,20.03,20.02,21.7,270.0,1
0.03396,0.03391,5.09,5.07,25.7,43.0,0
0.01808,0.01779,9.74,9.72,26.4,31.0,0
0.0257,0.0257,17.2,17.19,25.9,39.0,0
0.01638,0.01629,8.99,8.97,27.0,24.0,0
0.04951,0.04929,7.06,7.05,25.6,45.0,0
0.04207,0.04144,13.87,13.87,25.0,59.0,0
0.01913,0.01882,8.6,8.58,24.7,68.0,0
0.00372,0.00372,12.38,12.33,28.0,15.0,1
0.0496,0.04924,17.12,17.11,25.2,54.0,0
0.01419,0.01416,10.29,10.28,27.4,20.0,0
0.01008,0.01008,8.06,8.03,26.0,38.0,0
0.01517,0.01396,10.19,10.17,24.6,71.0,0
0.00678,0.00677,4.95,4.87,26.2,34.0,1
0.04349,0.04349,30.45,30.45,20.2,530.0,1
0.04709,0.04689,1.83,1.8,27.2,22.0,0
0.01895,0.01884,6.08,6.06,27.6,18.0,0
0.01783,0.0178,15.32,15.31,24.8,65.0,0
0.03857,0.03833,7.36,7.35,25.8,41.0,0
0.02359,0.01767,7.0,6.98,26.3,33.0,0
0.01524,0.01264,5.44,5.4,26.5,30.0,0
0.03222,0.03219,12.29,12.28,25.0,59.0,0
0.01652,0.01645,8.44,8.42,26.0,38.0,0
0.00748,0.00745,5.93,5.87,27.9,16.0,1
0.02411,0.02403,7.42,7.4,25.8,41.0,0
0.00567,0.00564,11.98,11.94,26.9,25.0,1
0.01763,0.01745,8.93,8.91,27.0,24.0,0
0.04855,0.04829,7.39,7.39,25.7,43.0,0
0.01377,0.01373,6.21,6.18,26.0,38.0,0
0.01332,0.01332,4.6,4.55,25.7,43.0,0
0.02964,0.02234,12.7,12.69,25.2,54.0,0
0.03475,0.03427,6.06,6.05,27.0,24.0,0
0.0212,0.02081,21.94,21.93,25.3,52.0,0
0.00372,0.00371,5.44,5.31,27.3,21.0,1
0.04996,0.04807,14.67,14.67,25.1,57.0,0
0.01859,0.01843,11.19,11.17,26.3,33.0,0
0.01108,0.01099,14.58,14.56,27.2,22.0,0
0.03065,0.03065,24.0,23.99,21.5,300.0,1
0.03286,0.03259,6.18,6.17,26.4,31.0,0
0.02107,0.02097,8.76,8.75,25.8,41.0,0
0.02674,0.02666,15.61,15.61,24.9,62.0,0
0.03867,0.03861,7.63,7.62,24.9,62.0,0
0.04239,0.04221,15.11,15.1,25.5,47.0,0
0.02176,0.02175,2.98,2.94,27.3,21.0,0
0.01693,0.01679,15.0,14.99,26.6,28.0,0
0.01969,0.01959,8.73,8.71,26.8,26.0,0
0.0345,0.03419,7.74,7.73,25.6,45.0,0
0.01832,0.01823,6.15,6.12,27.4,20.0,0
0.01658,0.01637,19.97,19.96,25.3,52.0,0
0.0492,0.04918,4.9,4.89,25.0,59.0,0
0.02235,0.02232,7.87,7.85,26.2,34.0,0
0.02634,0.02608,19.74,19.74,23.3,130.0,0
0.0007,0.00069,14.15,13.88,29.8,6.5,1
0.01585,0.0158,8.15,8.13,27.0,24.0,0
0.00826,0.00825,21.73,21.72,24.4,78.0,1
0.00018,0.00018,8.63,6.67,29.7,6.8,1
0.01068,0.0106,8.21,8.18,25.4,49.0,0
0.0353,0.03497,9.96,9.95,26.1,36.0,0
0.04764,0.03828,11.96,11.95,24.8,65.0,0
0.01286,0.01275,10.29,10.27,26.0,38.0,0
0.0012,0.0012,10.98,10.78,27.7,17.0,1
0.01914,0.01867,2.75,2.7,26.4,31.0,0
0.04745,0.04714,8.66,8.65,24.4,78.0,0
0.00025,0.00025,13.18,12.34,30.4,4.9,1
0.01266,0.01266,15.43,15.42,23.3,130.0,0
0.02823,0.0279,10.52,10.51,26.2,34.0,0
0.02221,0.02216,8.43,8.42,24.8,65.0,0
0.01135,0.00095,13.1,13.08,26.0,38.0,1
0.03843,0.03817,12.61,12.6,24.7,68.0,0
0.02377,0.02363,11.53,11.52,25.4,49.0,0
0.00853,0.0085,17.28,17.26,26.2,34.0,1
0.04346,0.04318,32.49,32.49,23.9,99.0,0
0.01731,0.01718,6.53,6.5,27.5,19.0,0
0.01497,0.0149,6.26,6.23,26.7,27.0,0
0.0146,0.01456,22.45,22.44,26.3,33.0,0
0.02501,0.02501,12.07,12.06,24.6,71.0,0
0.02502,0.00149,15.97,15.96,25.5,47.0,1
0.02722,0.02706,11.79,11.78,26.0,38.0,0
0.01131,0.01131,9.18,9.15,27.3,21.0,0
0.02369,0.02349,18.4,18.4,24.3,82.0,0
0.04244,0.04221,8.47,8.46,27.0,24.0,0
0.01491,0.01491,1.16,0.99,27.4,20.0,0
0.01091,0.01085,15.2,15.18,26.2,34.0,0
0.00645,0.00642,13.3,13.27,27.6,18.0,1
0.00437,0.00436,14.13,14.09,27.2,22.0,1
0.03611,0.03607,17.77,17.77,23.8,100.0,0
0.0096,0.00958,7.38,7.34,27.6,18.0,1
0.01505,0.01505,9.4,9.38,23.6,120.0,0
0.03379,0.0337,13.92,13.91,24.6,71.0,0
0.00658,0.00655,10.7,10.66,27.8,16.0,1
0.00738,0.00737,15.85,15.83,26.8,26.0,1
0.04371,0.04346,5.83,5.82,26.1,36.0,0
0.01006,0.01002,10.15,10.12,27.3,21.0,0
0.0446,0.04397,9.73,9.73,26.8,26.0,0
0.03969,0.03959,7.4,7.39,25.8,41.0,0
0.02868,0.02861,10.83,10.82,25.8,41.0,0
0.00448,0.00447,8.19,8.11,28.5,12.0,1
0.01781,0.01777,12.22,12.2,25.7,43.0,0
0.00464,0.00462,21.37,21.34,25.8,41.0,1
0.04911,0.04893,5.84,5.83,25.8,41.0,0
0.00101,0.00101,4.88,4.31,28.5,12.0,1
0.02447,0.02442,9.19,9.18,26.1,36.0,0
0.02085,0.02085,2.73,2.69,25.3,52.0,0
